Marker,Region,Name
Tbet,cell_region,T.bet
FOXP3,cell_region,FOXP3
TCRgd,cell_region,TCR.g.d
CD30,cell_region,CD30
PDL1,cell_region,PD.L1
CD4,cell_region,CD4
CD5,cell_region,CD5
CD25,cell_region,CD25
CD20,cell_region,CD20
CD11c,cell_region,CD11c
CD16,cell_region,CD16
EGFR,cell_region,EGFR
CD206,cell_region,CD206
CD69,cell_region,CD69
CD57,cell_region,CD57
HLADR,cell_region,HLA.DR
BCL2,cell_region,BCL.2
CD7,cell_region,CD7
CD45RO,cell_region,CD45RO
CD163,cell_region,CD163
Vimentin,cell_region,Vimentin
CD15,cell_region,CD15
CD31,cell_region,CD31
CD45,cell_region,CD45
MCT,cell_region,MCT
CD56,cell_region,CD56
Tim3,cell_region,Tim.3
CCR6,cell_region,CCR6
CD2,cell_region,CD2
MUC1,cell_region,MUC.1
GranzymeB,cell_region,Granzyme.B
LAG3,cell_region,LAG.3
PD1,cell_region,PD.1
IDO1,cell_region,IDO.1
VISTA,cell_region,VISTA
TCRb,cell_region,TCR.b
CD45RA,cell_region,CD45RA
CD44,cell_region,CD44
CD8,cell_region,CD8
bcatenin,cell_region,b.Catenin
CD11b,cell_region,CD11b
CK,cell_region,CK
CD68,cell_region,CD68
CollagenIV,cell_region,Collagen.IV
Podoplanin,cell_region,Podoplanin
MMP9,cell_region,MMP.9
CD162,cell_region,CD162
aSMA,cell_region,a.SMA